open_time,open,high,low,close,volume,rsi,stoch_k,williams_r,roc,tsi,sma_20,ema_20,sma_50,ema_50,sma_200,ema_200,adx,cci,ichimoku_a,ichimoku_b,bollinger_hband,bollinger_lband,atr,keltner_hband,keltner_lband,obv,typical_price,money_flow,positive_flow,negative_flow,mfi,cmf,macd,macd_signal,rolling_std_10,rolling_std_20,bb_width,ema_diff,rolling_mean_5,rolling_std_5,time_index,close_next
2024-12-14 18:30:00,100932.36,101042.66,100831.63,100895.98,247.20117,,,,,,,,,,,,0.0,,,100937.145,,,0.0,101134.45333333332,100712.39333333333,247.20117,100923.42333333334,24948388.328405302,0.0,0.0,,,,,,,,0.0,,,0,101175.58
2024-12-14 19:00:00,100895.99,101181.82,100872.38,101175.58,223.03599,,,,,,,,,,,,0.0,,,101006.725,,,0.0,101260.24333333333,100739.77333333333,470.23716,101076.59333333334,22543718.0599274,22543718.0599274,0.0,,,,,,,,22.30427350428363,,,1,101313.54
2024-12-14 19:30:00,101175.58,101411.77,101152.0,101313.54,219.90988,,,,,,,,,,,,0.0,,,101121.70000000001,,,0.0,101357.56444444445,100837.40444444444,690.1470400000001,101292.43666666666,22275207.592274264,22275207.592274264,0.0,,,,,,,,50.530308033223264,,,2,101169.38
2024-12-14 20:00:00,101313.54,101409.92,101052.27,101169.38,169.36716,,,,,,,,,,,,0.0,,,101121.70000000001,,,0.0,101410.21666666667,100841.27166666667,520.77988,101210.52333333333,17141738.8990804,0.0,17141738.8990804,,,,,,,,60.568935564064304,,,3,100760.0
2024-12-14 20:30:00,101169.38,101169.39,100609.41,100760.0,358.76547,,,,,,,,,,,,0.0,,,101010.59,,,0.0,101409.42266666667,100730.27466666666,162.01441000000005,100846.26666666666,36180158.258411996,0.0,36180158.258411996,,,,,,,,35.086618836794514,101062.896,227.19258280146101,4,101174.59
2024-12-14 21:00:00,100760.0,101187.03,100760.0,101174.59,193.15496,,,,,,,,,,,,0.0,,,101010.59,,,0.0,101419.1138888889,100710.81388888888,355.1693700000001,101040.54,19516481.462078396,19516481.462078396,0.0,,,,,,,,47.7946998187108,101118.618,209.4968799767637,5,101074.68
2024-12-14 21:30:00,101174.59,101181.82,101029.59,101074.68,107.40263,,,,,,,,,,,,0.0,,,101010.59,,,0.0,101394.61095238094,100744.00238095237,247.76674000000008,101095.36333333333,10857907.902805567,10857907.902805567,0.0,,,,,,,,49.23647608865576,101098.438,207.48824501643128,6,101179.98
2024-12-14 22:00:00,101074.68,101187.03,100895.53,101179.98,144.08954,,,,,,,,,,,,0.0,,,101010.59,,,0.0,101392.66125,100750.50375,391.8562800000001,101087.51333333332,14565653.295943866,0.0,14565653.295943866,,,,,,,,58.204973438725574,101071.726,179.5954202645455,7,101117.63
2024-12-14 22:30:00,101179.98,101259.25,101043.16,101117.63,148.04894,,,,,,,,,,,,0.0,,,101010.59,,,0.0,101388.59925925925,100769.77259259259,243.8073400000001,101140.01333333335,14973671.765585868,14973671.765585868,0.0,,,,,,,,59.59448021228309,101061.376,173.96358880523934,8,101388.0
2024-12-14 23:00:00,101117.64,101388.0,101045.45,101388.0,188.40886,,,,,,,,,,,,0.0,,,101010.59,,,0.0,101411.376,100785.92199999999,432.2162000000001,101273.81666666667,19080884.346015666,19080884.346015666,0.0,,,,,183.48107975119999,,,81.57196295268659,101186.976,120.44943432826155,9,101420.0
2024-12-14 23:30:00,101388.0,101499.08,101363.63,101420.0,126.77451,,,,0.005193665793225888,,,,,,,,0.0,,,101054.245,,,0.0,101425.16181818182,100831.94,558.99071,101427.57,12858430.487240702,12858430.487240702,0.0,,,,,185.64301996633608,,,100.41389999484818,101236.05799999999,158.21964391313432,10,101530.24
2024-12-15 00:00:00,101420.0,101558.83,101350.03,101530.24,138.72075,,,,0.003505391320711926,,,,,,,,0.0,,,101084.12,,,0.0,101447.10666666667,100868.52,697.71146,101479.7,14077340.093775,14077340.093775,0.0,,,,,216.57134755599932,,,122.82585750658473,101327.17,172.57391923462802,11,101442.42
2024-12-15 00:30:00,101530.23,101530.24,101237.14,101442.42,175.06788,,,,0.0012720905813774497,,,,,,,,0.0,,,101084.12,,,0.0,101466.28051282052,100887.10820512821,522.6435799999999,101403.26666666666,17752454.920408,0.0,17752454.920408,,,,,226.82423385128342,,,131.97977455986256,101379.65800000001,155.6998282593778,12,101585.09
2024-12-15 01:00:00,101442.41,101676.47,101424.01,101585.09,266.28202,66.93329936217036,91.43628287069097,-8.563717129309023,0.004109049595836023,,,,,,,,0.0,136.83675463251717,,101142.94,,,286.9342857142869,101491.14023809523,100917.27166666665,788.9255999999999,101561.85666666664,27044096.34815046,27044096.34815046,0.0,65.58814565803769,,,,252.0488264448405,,,149.02868650120217,101473.15,81.86820139713193,13,102134.48
2024-12-15 01:30:00,101585.08,102196.97,101540.0,102134.48,1192.52275,76.75694752425021,96.06377081811047,-3.9362291818895243,0.013641127431520461,,,,,,,,0.0,218.00391049686795,,101403.19,,,313.3654081632664,101566.00555555554,100942.7988888889,1981.4483500000001,101957.15000000001,121586220.90016252,121586220.90016252,0.0,76.8824162731523,,,,312.2654755688138,,,204.51374643812596,101622.446,293.8834709200246,14,101928.0
